"regular_unique_genes"	"regular_unique_transcripts"	"mt.content.x"	"mt_unique_genes"	"mt_unique_transcripts"	"mt.content.y"	"rep"	"x"	"y"	"new_x"	"new_y"	"pixel_x"	"pixel_y"	"selected"	"selected_mt"	"added_in_old"	"added_in_new"	"diff_spots"	"combined_selection"	"sample_id"
"10x11x5"	2775	6715	0	3326	8815	0.0679523539421441	"10"	11	5	10.91	4.95	3852.4	1683.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x6"	2452	5694	0	2903	7308	0.0558292282430213	"10"	11	6	10.91	5.91	3852.7	1891.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x7"	3463	9424	0	4137	12278	0.0460987131454634	"10"	11	7	10.89	6.88	3848.4	2104	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x8"	2613	6171	0	3137	8264	0.0572362052274927	"10"	11	8	10.87	7.83	3843.7	2311.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x9"	2083	4746	0	2509	6251	0.0662294032954727	"10"	11	9	11.02	8.88	3877	2541.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x1"	NA	NA	NA	NA	NA	NA	"10"	12	1	12.04	0.94	4099.7	806.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x10"	2003	4603	0	2484	6275	0.0642231075697211	"10"	12	10	12.04	9.94	4099.7	2774.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x11"	2678	6923	0	3283	9374	0.0455515254960529	"10"	12	11	11.98	10.92	4085.6	2987.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x12"	2470	5646	0	2989	7603	0.0537945547810075	"10"	12	12	12.04	11.93	4099.7	3209.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x13"	2159	4333	0	2593	5711	0.0528804062335843	"10"	12	13	11.96	12.9	4082.5	3419.9	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x14"	1646	3176	0	2020	4309	0.0496634950104433	"10"	12	14	12.04	13.93	4099.7	3644.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x15"	1943	4332	0	2421	5773	0.0507535077082972	"10"	12	15	12.17	15.04	4126.7	3888.4	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x16"	1970	4049	0	2402	5456	0.0513196480938416	"10"	12	16	12.04	15.95	4099.7	4087.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x17"	1592	2930	0	1938	3833	0.0328724236890164	"10"	12	17	12.02	16.99	4094.8	4315.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x18"	848	1498	0	1029	2005	0.0618453865336658	"10"	12	18	12.04	17.91	4098.4	4515.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x19"	1892	3992	0	2274	5131	0.0327421555252387	"10"	12	19	11.9	19	4069	4752.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x2"	3250	8205	0	3898	10851	0.0476453783061469	"10"	12	2	12.04	1.97	4099.7	1032	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x20"	NA	NA	NA	NA	NA	NA	"10"	12	20	12.05	19.99	4101.4	4969	1	0	0	1	"new"	1	"E2_1000L2_CN74"
"10x12x21"	1412	2695	0	1681	3564	0.0813692480359147	"10"	12	21	12.04	21.01	4099.7	5192.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x22"	NA	NA	NA	NA	NA	NA	"10"	12	22	12.04	21.96	4097.9	5400.4	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x23"	NA	NA	NA	NA	NA	NA	"10"	12	23	12.07	22.95	4105.3	5617.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x24"	NA	NA	NA	NA	NA	NA	"10"	12	24	12.02	24.01	4093.6	5847.8	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x25"	NA	NA	NA	NA	NA	NA	"10"	12	25	12.1	25	4112.6	6064.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x26"	NA	NA	NA	NA	NA	NA	"10"	12	26	12.1	25.98	4111.3	6278.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x27"	NA	NA	NA	NA	NA	NA	"10"	12	27	12.03	27.04	4097.3	6511.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x28"	NA	NA	NA	NA	NA	NA	"10"	12	28	12.07	27.96	4105.2	6712.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x29"	NA	NA	NA	NA	NA	NA	"10"	12	29	12.07	28.95	4105.2	6929.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x3"	2397	4918	0	2823	6376	0.0486198243412798	"10"	12	3	12.04	2.99	4099.7	1255.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x30"	NA	NA	NA	NA	NA	NA	"10"	12	30	12.07	29.99	4105.8	7156.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x31"	NA	NA	NA	NA	NA	NA	"10"	12	31	12.05	30.99	4101	7374.4	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x32"	NA	NA	NA	NA	NA	NA	"10"	12	32	12.08	31.99	4108.4	7591.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x33"	NA	NA	NA	NA	NA	NA	"10"	12	33	12.12	32.94	4116	7800.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x34"	NA	NA	NA	NA	NA	NA	"10"	12	34	12.04	33.93	4099.7	8017.4	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x35"	NA	NA	NA	NA	NA	NA	"10"	12	35	12.01	35.08	4092.3	8268.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x12x4"	2576	5095	0	3040	6529	0.0470209833052535	"10"	12	4	12.04	3.97	4099.7	1467.9	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x5"	2700	6327	0	3282	8535	0.0570591681312244	"10"	12	5	12.04	4.95	4099.7	1683.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x6"	2685	6636	0	3251	8698	0.0519659691883192	"10"	12	6	11.97	5.96	4084.7	1904.4	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x7"	2424	6259	0	2901	8389	0.0617475265228275	"10"	12	7	12.04	6.96	4099.7	2121.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x8"	2103	5152	0	2570	6944	0.0577476958525346	"10"	12	8	11.91	8.03	4069.8	2355.9	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x12x9"	1633	3802	0	2028	5225	0.0710047846889952	"10"	12	9	11.87	8.87	4062.8	2539.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x1"	NA	NA	NA	NA	NA	NA	"10"	13	1	12.8	1.04	4265.1	828.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x10"	2203	5037	0	2717	6824	0.061400937866354	"10"	13	10	12.94	10.09	4293.7	2805.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x11"	2430	6323	0	2995	8656	0.0620378927911275	"10"	13	11	12.95	10.91	4297	2986	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x12"	1903	4288	0	2340	5917	0.0630387020449552	"10"	13	12	12.95	11.93	4297	3209.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x13"	1928	4544	0	2375	6167	0.0590238365493757	"10"	13	13	12.9	12.84	4286.1	3407.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x14"	1734	3559	0	2129	4794	0.0460992907801418	"10"	13	14	12.94	14.02	4295.8	3665.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x15"	2291	5246	0	2777	6989	0.0553727285734726	"10"	13	15	12.97	15	4300.7	3879.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x16"	1696	3130	0	2022	4079	0.0566315273351312	"10"	13	16	12.97	15.99	4301.9	4096.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x17"	1537	2547	0	1834	3410	0.0504398826979472	"10"	13	17	12.95	16.99	4297	4315.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x18"	1112	1820	0	1373	2444	0.0503273322422259	"10"	13	18	12.96	17.86	4299.5	4505.4	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x19"	1370	2228	0	1597	2825	0.0410619469026549	"10"	13	19	12.88	19.09	4282.7	4774.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x2"	2082	4231	0	2488	5457	0.0432472054242258	"10"	13	2	13	2.05	4306.8	1049.2	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x20"	1959	3500	0	2324	4525	0.0366850828729282	"10"	13	20	12.99	19.99	4306.4	4970.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x21"	NA	NA	NA	NA	NA	NA	"10"	13	21	12.97	21.06	4300.7	5204.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x22"	NA	NA	NA	NA	NA	NA	"10"	13	22	12.86	21.99	4278	5407.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x23"	NA	NA	NA	NA	NA	NA	"10"	13	23	13.08	23.05	4324.2	5637.8	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x24"	NA	NA	NA	NA	NA	NA	"10"	13	24	13.16	24.03	4342.5	5852.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x25"	NA	NA	NA	NA	NA	NA	"10"	13	25	12.92	25.08	4290	6081.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x26"	NA	NA	NA	NA	NA	NA	"10"	13	26	13	26.03	4306.7	6290.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x27"	NA	NA	NA	NA	NA	NA	"10"	13	27	13.14	26.97	4337.6	6495.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x28"	NA	NA	NA	NA	NA	NA	"10"	13	28	12.97	28.01	4301.9	6722.7	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x29"	NA	NA	NA	NA	NA	NA	"10"	13	29	12.87	28.98	4278.6	6934.5	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x3"	2142	4257	0	2490	5445	0.0793388429752066	"10"	13	3	12.95	3.01	4296	1259.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x30"	NA	NA	NA	NA	NA	NA	"10"	13	30	12.98	30.03	4303.1	7163.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x31"	NA	NA	NA	NA	NA	NA	"10"	13	31	13.03	31.06	4314.2	7389.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
