	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X14x21	0.07850194	6.2490924e-12	0.03919924	0.11399249	0.008710642	0.070737384	0.0197479	6.218381e-12	0.014587268	0.11045758	0.022962425	0.06473807	0.27980474	0.045966722	0.13059354
X14x22	0.3055481	0.016717087	0.04593203	0.0142166335	0.11687465	0.037678704	0.025439484	1.0890116e-11	0.022740398	0.024714716	0.018975023	0.03792466	0.2960257	0.037212778	1.0960508e-11
X14x23	0.21158388	0.19391513	6.2384616e-12	0.07832828	0.025295073	0.013269102	0.050173473	6.2029266e-12	0.010677943	0.067336865	6.2452005e-12	0.040354468	0.26705965	0.029843548	0.01216251
X14x24	0.20686485	0.16949414	9.239596e-12	0.042852998	9.2722045e-12	9.279192e-12	0.02005039	9.212005e-12	0.0082188705	0.062107272	0.015284209	0.070797145	0.3512222	0.04469454	0.008413456
X14x25	0.16300721	0.097012304	0.049978953	0.021582527	0.01910932	9.7502536e-12	0.2105097	0.07338452	0.014099171	0.018131426	0.019334933	0.06638567	0.20476565	0.03394645	0.008752066
X14x26	0.20245562	0.07027896	0.06888111	0.021894159	0.23336947	0.06808358	0.020645205	8.7435024e-12	8.770494e-12	0.02293598	0.032373816	8.785596e-12	0.21303517	0.026756985	0.019290037
X15x10	0.016752377	0.02321016	0.04170753	0.19366185	0.024619572	0.13870512	0.024279198	0.014663887	0.020302808	0.21581589	0.0038155045	0.039319422	0.14871725	0.015895799	0.07853361
X15x11	0.03293059	0.20511098	0.06205884	0.04243272	0.010179375	0.019874256	4.679142e-12	4.691779e-12	0.018196119	0.057315525	0.017453806	0.07748504	0.2119272	0.03293882	0.21209675
X15x12	0.114625156	0.101140015	0.07329526	0.06386718	0.042864893	0.021969948	4.6875967e-12	4.686041e-12	0.014314576	0.04176444	0.024425551	0.070182085	0.2125935	0.0062100627	0.21274744
X15x13	0.08486416	0.13703378	0.065877676	0.0475211	0.04344997	0.005834238	5.0236026e-12	5.004695e-12	0.00630195	0.038759403	0.021051139	0.06560554	0.22687635	0.029929604	0.2268951
X15x14	0.028538952	0.17146814	6.0097352e-12	0.03915385	0.019587787	6.0187398e-12	0.04667834	0.01108371	6.0182003e-12	0.094582476	6.0171334e-12	0.0406392	0.27084935	0.015428255	0.26199
X15x15	0.0039463937	0.16158	0.020047802	0.027945815	0.011045941	0.01319285	0.032368124	7.923384e-12	0.023603724	0.022385705	0.00951836	0.05853647	0.30422634	0.026684381	0.28491813
X15x16	0.02226882	0.06035565	0.09663433	0.031071506	0.025016587	8.137172e-06	0.1633253	0.16323677	0.019717421	3.6132848e-12	0.023039732	0.10836021	0.1622097	0.018024553	0.106731325
X15x17	0.023591753	0.030455897	0.1474601	0.01921581	0.022409337	0.0013476302	0.17266987	0.17266181	0.03219609	0.01206454	0.0074323867	0.17169605	0.115649454	0.04419546	0.026953893
X15x18	0.018351357	0.05392571	0.14493477	0.043457627	0.05087671	1.8646504e-07	0.14564548	0.14561848	0.061589833	3.2213349e-12	0.022095667	0.14532629	0.10803235	0.046610206	0.013535344
X15x19	0.018830769	0.053159174	0.07838772	0.06311291	4.8489394e-12	0.024975445	0.21988337	0.21987636	0.045219403	4.8558622e-12	4.865773e-12	0.061964113	0.13583396	0.028749745	0.050007045
X15x20	0.04278232	0.023860566	0.08303719	0.024235673	0.0052114637	7.0502154e-12	6.999474e-12	7.026454e-12	0.02892728	0.02211367	0.03522889	0.041401275	0.31721595	0.059231233	0.31675446
X15x21	0.04852714	0.0494964	0.04438892	0.057984013	0.03860832	0.028707318	0.020553868	7.0458596e-12	0.012077941	0.10172456	0.015081678	0.04913278	0.29506227	0.037220474	0.20143439
X15x23	0.3138999	0.16563019	0.015093212	0.046862848	0.019737292	0.045413475	0.019726694	7.856783e-12	7.927473e-12	7.927821e-12	0.013222565	0.029499186	0.28909725	0.0299585	0.011858825
X15x24	0.12102483	0.12433696	0.035647552	0.040891085	0.004219267	0.008581315	0.1819886	0.15572466	0.005509502	0.011595939	0.003014669	0.060518205	0.1809365	0.060220417	0.0057906345
X15x25	0.13082834	0.039375816	0.023063444	0.036793638	0.014216813	6.2003115e-12	0.27953702	0.16685835	0.016465953	6.1987746e-12	0.02823831	0.044761486	0.15658396	0.06327694	6.182457e-12
X15x9	0.00066660956	0.0072980756	8.358647e-12	0.071737796	0.0728994	0.1437113	8.359094e-12	0.0052317437	0.013287866	0.08543833	0.07527635	0.1198518	0.23341967	0.03488702	0.13629398
X16x10	0.029181756	0.09255585	0.06532966	0.09345503	0.03516306	5.3927006e-12	5.3820446e-12	0.0073436857	0.010331024	0.08476125	0.013750592	0.07754352	0.24083154	0.0074086543	0.24234432
X16x11	0.0691897	0.06830491	0.05330077	0.12766251	0.0282672	5.4358857e-12	0.012316951	5.4170687e-12	5.4363835e-12	0.0253942	0.08064069	0.044224348	0.24210039	0.022840947	0.22575742
X16x12	0.09233453	0.055267416	0.04441643	0.11572258	0.030985586	4.7988224e-12	4.7902992e-12	4.7775976e-12	0.018149422	0.0840958	0.041509308	0.067821085	0.21643867	0.017012179	0.21624704
X16x13	0.05635701	0.0799008	0.080662146	0.03208851	0.017914714	0.008657503	5.7196916e-12	5.731114e-12	5.7489816e-12	0.07622867	0.062175035	0.06008476	0.25896198	0.008156747	0.2588121
X16x14	0.0059265145	0.0677882	0.022293795	0.10092962	0.022114804	8.129117e-12	0.04414033	8.102755e-12	0.006129914	0.032257527	0.043144953	0.043415744	0.31614837	0.030332971	0.2653773
X16x15	0.049531125	0.04245082	0.061237037	0.055393357	5.925598e-12	5.9075084e-12	0.043276362	0.051467706	0.025658816	0.06379268	0.02442709	0.028881025	0.26691276	0.025336925	0.26163435
X16x16	0.023960823	0.12759183	0.033579938	0.057821043	0.007571694	0.03252034	0.04722519	0.007332399	0.020219147	0.054350875	0.018914266	1.0987865e-11	0.28936294	0.027658362	0.25189123
X16x17	0.03746737	0.04768853	0.07066009	0.055729244	0.024042908	0.047981106	0.018319866	0.01397686	0.009008393	0.06485757	0.02825893	0.02855681	0.31764865	0.02539889	0.21040471
X16x18	0.040451054	0.102186106	0.035722204	0.01419898	6.53237e-12	0.02184069	0.06848077	0.042535864	0.030120336	0.042915113	0.035547774	0.03578899	0.26680446	0.04099618	0.2224115
X16x19	0.014674965	0.041416634	0.06053163	0.021177353	0.013896	0.018359618	0.024969514	0.009019786	0.07013411	6.8810123e-12	0.015434481	0.04635805	0.30888402	0.06150819	0.2936357
X16x20	0.054911308	0.0286478	0.050910473	0.052993447	0.01061991	0.04436164	6.744889e-12	0.0076523963	0.044672746	0.10360667	0.027698293	0.027011003	0.30452794	0.02468933	0.21769698
X16x21	0.06273475	0.02390346	0.06742449	0.020974116	7.2293157e-12	0.122943066	0.021535587	7.169883e-12	0.025657061	0.05354139	7.228034e-12	0.03810279	0.26118413	0.036026698	0.2659725
X16x23	0.11140124	0.0493637	0.025410531	0.0303438	0.029660098	0.020657124	0.24904658	0.17795663	0.011940166	0.015344151	0.0071012573	0.05727782	0.20545006	0.009046872	6.751409e-12
X16x24	0.2848657	0.11007569	0.023276437	0.04937313	0.020304875	0.014773792	0.029268904	0.024074147	8.608382e-12	0.02759174	0.007096526	0.052231368	0.32565615	0.03141154	8.607497e-12
X16x25	0.27296737	0.050322186	0.061287798	0.04000527	0.07280951	0.012110175	7.9649195e-12	7.938393e-12	0.021857135	0.030812725	7.995331e-12	0.063413985	0.31793097	0.038192894	0.018289894
X16x9	0.0663504	9.4290435e-12	0.09457604	0.12667525	0.007237507	0.03362575	9.372098e-12	9.350939e-12	0.015126775	0.07280912	9.404922e-12	0.10417491	0.20893937	0.04613568	0.22434928
X17x10	0.039631624	0.06355731	0.046759646	0.13587713	0.05758738	0.06318882	3.9543655e-12	0.002761402	0.008524837	0.077817455	0.03615478	0.08703238	0.17914978	0.022641132	0.17931633
X17x11	0.051632054	0.20489626	5.326459e-12	0.060717095	0.035895515	5.32654e-12	5.3034474e-12	5.3051673e-12	0.02302212	0.046401635	0.03896957	0.05522618	0.23843847	0.005672287	0.23912881
X17x12	0.058983814	0.18316633	6.614087e-12	0.01996002	0.018185044	0.043503825	0.013133309	6.5684762e-12	0.044707302	0.07719457	6.615058e-12	0.061853208	0.22069156	6.6152604e-12	0.25862104
