	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X22x11	0.04420367	0.080530986	0.09043861	0.04161127	0.0032044936	0.08384597	0.018379413	0.02908793	0.29310706	1.3482595e-11	0.08764307	0.046265274	0.06395336	0.08143194	0.036296874
X22x12	0.019212961	1.4001126e-11	0.11064865	0.05020032	0.023037247	1.4051207e-11	1.40021675e-11	1.3952421e-11	0.16629858	1.4047642e-11	0.033187658	0.05372602	0.21313019	0.0845889	0.24596947
X22x13	0.02840386	0.020110605	0.13885327	0.06599106	0.010560166	0.24215147	9.7576825e-12	9.792381e-12	0.2654794	0.036754362	0.11100018	0.013674401	9.769322e-12	0.040055163	0.026966054
X22x14	0.007980512	0.012174161	0.07501118	0.044809077	0.047105443	0.30917695	0.07638592	0.12960996	0.05004822	0.0143822655	1.0456669e-11	0.087708466	1.0400757e-11	0.13785529	0.0077525633
X22x17	0.29494095	0.08642724	0.051435065	0.061243482	1.2959826e-11	0.043443408	0.13753964	1.303258e-11	0.008159461	0.04054656	0.026561152	0.021158472	0.11151253	0.08281619	0.03421583
X22x18	0.34090188	0.1440134	0.06525545	0.06897994	8.3891635e-12	0.019494835	0.045194853	8.409685e-12	8.433458e-12	0.012995244	0.022914376	0.021814173	0.066980354	0.15601142	0.035444073
X22x2	0.028873408	0.0069205	0.08140083	0.07086568	0.08680053	0.2884671	0.05158994	0.012088322	0.07110085	0.038094994	0.028218959	0.12349628	6.904549e-12	0.044512838	0.06756966
X22x3	0.053875092	1.6792743e-11	1.679649e-11	0.081154205	0.017769057	0.048484713	0.031416193	0.019887742	0.08315433	0.083956994	0.039375678	0.037445556	0.112491764	0.06858619	0.32240245
X22x4	0.12138866	0.040493734	0.05492711	0.059642877	6.8989888e-12	0.009129463	0.024822751	0.051102348	0.031494252	0.028334502	0.00081084593	0.07084783	0.14243029	0.12325548	0.2413199
X22x5	0.0830865	0.03266636	0.045139976	0.083046146	1.559981e-11	1.5515951e-11	0.07869875	0.028845929	0.049222056	0.04033848	0.040350687	0.044543102	0.14490096	0.12014778	0.20901327
X22x6	0.07764256	0.016351178	0.09506342	0.063193426	1.1839735e-11	1.1842105e-11	0.04782475	0.022872552	0.0644816	0.042599637	0.012630245	0.02161314	0.16859446	0.121571526	0.24556148
X22x7	0.14135686	1.13173915e-11	0.10211251	0.09259995	0.040340103	0.06219379	0.075697355	0.02087479	0.042310458	1.12781295e-11	0.03342321	0.059898734	0.08479604	0.056902487	0.18749376
X22x8	0.12965193	0.025369512	0.08145288	0.04278014	0.0036446133	0.04150948	0.024207676	0.038145166	0.017505342	0.017112816	0.043071162	1.43214485e-11	0.22710526	0.13447118	0.17397277
X22x9	0.05568487	0.015797755	0.03819831	0.066209875	0.015214103	6.0745857e-12	0.039890338	0.11792279	0.101779446	0.03539327	0.033223137	0.017538493	0.22166267	0.08557219	0.15591282
X23x10	0.09712721	0.031455174	1.7558996e-11	0.03916163	0.00737406	1.7530751e-11	0.027667698	0.022850517	0.10101834	0.05362539	0.04506813	0.030412579	0.17567556	0.059725568	0.3088381
X23x11	0.04143904	0.015521664	0.17499405	0.041528504	1.2128646e-11	0.085011885	0.036455374	1.2129503e-11	0.33329687	1.2108699e-11	0.07783372	1.2137973e-11	1.2047511e-11	0.16044256	0.03347636
X23x12	0.030415628	0.012489959	0.18064502	1.3328423e-11	0.0396908	0.044099774	0.024027972	1.3272611e-11	0.26678732	0.03666883	0.02848433	0.07676766	0.006348784	0.15894364	0.09463027
X23x13	0.15479438	0.029607391	0.12705962	0.050063994	0.0062826737	0.18044725	1.274947e-11	1.2699206e-11	0.13244066	0.025226098	1.275869e-11	0.03243348	1.2778758e-11	0.15998733	0.10165715
X23x14	0.021182219	0.045745417	0.15481108	0.087204516	0.009684164	0.14818835	2.1045445e-11	0.017726792	0.06389725	2.0999775e-11	0.02273791	0.06531092	0.04834391	0.24984218	0.06532527
X23x16	0.39127457	0.11437585	1.3784003e-11	0.05655683	1.3794549e-11	0.024600837	0.028310968	1.37425505e-11	1.3791891e-11	0.032562032	0.016186988	0.048292413	0.091262795	0.14614053	0.050436195
X23x17	0.24043088	0.045228355	0.035833836	0.09926045	0.056764636	0.1432262	0.036116928	0.06591065	0.010202301	1.0529819e-11	0.008247886	0.08517333	1.05196026e-11	0.17360458	1.0506529e-11
X23x2	0.090916336	0.032539938	0.12219305	1.8799903e-11	1.8699552e-11	0.035253048	0.033193804	0.05256438	1.8819814e-11	0.02747777	0.014666141	0.011671897	0.10317723	0.15084615	0.3255003
X23x3	0.18783417	1.4599892e-11	0.088115826	0.04547064	0.01556591	1.4613906e-11	0.03091422	1.4521713e-11	0.099861234	0.03507098	0.02899406	0.011974029	1.459474e-11	0.08672517	0.36947373
X23x5	0.13701753	0.07637931	1.0634419e-11	0.058921367	0.006045025	0.028768491	0.18790688	0.050592706	1.0684638e-11	1.06320465e-11	1.0605696e-11	0.03766437	0.08607374	0.13455397	0.19607659
X23x6	0.17343521	0.038584903	0.04921564	0.019601794	1.9606167e-11	0.02793739	0.0813063	0.03945316	1.9616642e-11	0.016111549	0.009770643	0.032007273	0.10080649	0.096742816	0.31502682
X23x7	0.10182647	0.09577299	0.09343683	0.030752944	1.1528635e-11	1.1559681e-11	0.2798533	0.10737646	1.1584115e-11	0.0062564313	0.0063687405	0.076269336	1.1531252e-11	0.09560892	0.10647755
X23x8	0.14647931	0.035533566	1.1833526e-11	0.03259182	1.1857475e-11	0.019921282	0.1766597	0.061565828	0.0523401	0.012002969	0.021001961	1.1903271e-11	0.11762652	0.10092084	0.22335602
X23x9	0.17118952	1.7112704e-11	0.03544749	0.043165114	0.010299682	1.7056101e-11	0.021501727	0.016071353	0.023002822	1.7094957e-11	0.08517564	1.7096524e-11	0.19195664	0.13403444	0.26815557
X24x10	0.063299835	0.04795877	0.07099898	5.7820707e-05	0.007011169	0.032666914	0.29885074	0.26673955	0.047460344	0.024062252	0.04179379	0.017646581	8.143939e-12	0.026508933	0.054944355
X24x11	7.673837e-12	0.021254428	0.06973504	0.0039850143	0.009790874	0.018430756	0.34960943	0.34964302	7.731811e-12	0.00416263	7.723278e-12	0.105686665	7.688488e-12	0.056706235	0.01099593
X24x12	0.0028672703	0.016420284	0.041485414	0.025065724	0.020790195	0.052196514	0.28344145	0.28332606	0.14511664	6.2952655e-12	6.3012113e-12	0.034086857	0.0056205797	0.08485553	0.0047274735
X24x13	0.02745448	0.082210794	0.14691915	0.025025573	0.05322788	0.078294985	0.048351996	0.009039975	0.34917215	7.782803e-12	7.783115e-12	0.045485117	7.753881e-12	0.13124833	0.0035696968
X24x14	0.015222676	0.20930888	1.0686659e-11	0.050165866	1.0633591e-11	0.06475375	0.1233162	0.06271501	0.14694129	0.051851276	0.04816033	0.06655102	1.0613227e-11	0.15119737	0.009816387
X24x15	0.053395703	0.025923572	0.078753464	0.0437147	0.008075973	0.12573148	1.0611831e-11	1.0601958e-11	0.09752387	0.09231297	1.0677449e-11	0.033487376	1.0649077e-11	0.44108087	1.0595448e-11
X24x16	5.702988e-12	0.022014825	0.06349063	0.14607163	0.014620702	0.20768693	5.679335e-12	5.700498e-12	0.09338571	3.603845e-11	0.021444676	0.1676993	5.67653e-12	0.25565916	0.007926488
X24x2	0.121078104	1.4759027e-11	0.06378935	0.10291031	0.023231793	0.099454805	0.024574792	1.4724022e-11	0.03413029	0.029405933	1.4763222e-11	1.4744537e-11	0.14182153	0.03384279	0.32576025
X24x3	0.15619782	0.17104824	0.031076102	0.032806292	0.015625624	1.1552576e-11	0.102391176	0.036401194	0.0119952625	1.1475885e-11	1.15506806e-11	0.042844858	0.08275301	0.12366835	0.1931921
X24x4	0.15313406	0.11816833	0.025824664	0.020286005	0.024359846	1.236836e-11	0.10985617	0.0217505	0.04609177	0.0087882485	1.2381815e-11	0.021774864	0.13803945	0.0972698	0.21465631
X24x5	0.15491392	0.101888604	0.05809902	0.04318224	0.0089983875	1.29552e-11	0.20862183	0.06166151	0.058574576	1.2942506e-11	1.2938309e-11	0.058414668	1.2945665e-11	0.069871835	0.17577341
