	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X12x7	0.04948638	0.0049266247	0.017487213	0.09096615	8.1326465e-12	8.1945084e-12	0.014955431	8.1910555e-12	0.08198678	0.043637652	0.020215912	0.020790072	0.33668652	0.06335668	0.25550455
X12x8	0.0068904776	0.04895967	1.0005171e-11	0.053079467	0.009370808	1.00082624e-11	9.964529e-12	9.957481e-12	0.057787064	1.0015768e-11	0.05306633	0.03024318	0.3803593	0.08237994	0.2778638
X12x9	0.09059045	0.015628379	1.36277005e-11	0.04372191	1.3611257e-11	0.031268377	0.013581599	1.3661819e-11	0.07304668	0.06357319	0.03785122	0.042578474	0.3372246	1.3711235e-11	0.25093514
X13x10	0.029279256	0.18270001	9.795364e-12	0.040729664	0.004435574	0.061908197	0.02350245	9.797906e-12	0.027390974	0.034609463	9.823168e-12	9.8279275e-12	0.2744347	0.04534411	0.27566564
X13x11	0.048221238	0.06469906	0.032361664	0.048664965	0.0014456913	0.014840241	0.054442827	0.005660868	0.07090059	7.861803e-12	0.04207923	0.020915704	0.32103905	0.028596783	0.24613205
X13x12	0.08730854	1.1731457e-11	0.040768225	0.012368767	0.00702475	1.1700776e-11	0.016729781	1.1652446e-11	0.04429991	0.06677714	0.014287034	0.048311748	0.25190416	0.03874467	0.37147522
X13x13	0.051583663	0.031204032	0.07512212	0.06459881	1.1257849e-11	0.009014034	0.019174905	1.1218216e-11	0.06710236	1.1295725e-11	0.044068422	0.025127884	0.3416695	0.027764162	0.24357009
X13x14	0.016911346	0.04200307	0.08269743	0.019304328	1.4163565e-11	0.017935801	1.4182054e-11	1.4157811e-11	0.19963016	1.4258242e-11	1.4261234e-11	0.033944596	0.24961504	0.08861205	0.24934621
X13x15	0.039740365	0.02174341	0.058573283	0.05153898	0.023839239	0.045500554	0.06737871	8.850376e-12	0.06423453	0.046967637	0.03416393	0.050965544	0.27345693	0.017367722	0.20452923
X13x16	0.13822247	0.021863041	0.067240745	0.014580877	1.4753376e-11	0.06708242	0.035417832	0.005983412	0.060661774	0.048482243	1.4746229e-11	0.093632095	0.096514225	0.10370659	0.2466123
X13x17	0.035347987	0.024270874	0.11917808	0.09119175	1.7948924e-11	0.28409824	0.026610175	0.024865206	0.06816325	0.07927952	0.049099468	0.049408812	1.793397e-11	0.087946646	0.060539953
